KODE PROVINSI,KODE KAB_KOTA,PROVINSI,KAB_KOTA,PAGU
01,01 00 ,DKI JAKARTA,DKI JAKARTA,543468015514000
01,01 51 ,DKI JAKARTA,KOTA JAKARTA PUSAT,329474392308000
01,01 52 ,DKI JAKARTA,KOTA JAKARTA UTARA,4415607228000
01,01 53 ,DKI JAKARTA,KOTA JAKARTA BARAT,4997506878000
01,01 54 ,DKI JAKARTA,KOTA JAKARTA SELATAN,170023682638000
01,01 55 ,DKI JAKARTA,KOTA JAKARTA TIMUR,33760086083000
01,01 56 ,DKI JAKARTA,KEPULAUAN SERIBU,73399515000
01,01 99 ,DKI JAKARTA,INSTANSI PUSAT,723340864000
02,02 00 ,JAWA BARAT,JAWA BARAT,45936127084000
02,02 05 ,JAWA BARAT,KAB. BOGOR,4530368925000
02,02 06 ,JAWA BARAT,KAB. SUKABUMI,654219785000
02,02 07 ,JAWA BARAT,KAB. CIANJUR,822897121000
02,02 08 ,JAWA BARAT,KAB. BEKASI,1118292302000
02,02 09 ,JAWA BARAT,KAB. KARAWANG,958957501000
02,02 10 ,JAWA BARAT,KAB. PURWAKARTA,475019911000
02,02 11 ,JAWA BARAT,KAB. SUBANG,1613016887000
02,02 12 ,JAWA BARAT,KAB. BANDUNG,666551038000
02,02 13 ,JAWA BARAT,KAB. SUMEDANG,909102918000
02,02 14 ,JAWA BARAT,KAB. G A R U T,1084240460000
02,02 15 ,JAWA BARAT,KAB. TASIKMALAYA,815621765000
02,02 16 ,JAWA BARAT,KAB. CIAMIS,437835406000
02,02 17 ,JAWA BARAT,KAB. CIREBON,631240135000
02,02 18 ,JAWA BARAT,KAB. KUNINGAN,486514048000
02,02 19 ,JAWA BARAT,KAB. INDRAMAYU,583675098000
02,02 20 ,JAWA BARAT,KAB. MAJALENGKA,489362418000
02,02 21 ,JAWA BARAT,KAB. BANDUNG BARAT,705256185000
02,02 22 ,JAWA BARAT,KAB. PANGANDARAN,194128613000
02,02 51 ,JAWA BARAT,KOTA BANDUNG,19018705466000
02,02 52 ,JAWA BARAT,KOTA BOGOR,2189220628000
02,02 53 ,JAWA BARAT,KOTA SUKABUMI,462566004000
02,02 54 ,JAWA BARAT,KOTA CIREBON,2663450522000
02,02 57 ,JAWA BARAT,KOTA BEKASI,997389722000
02,02 58 ,JAWA BARAT,KOTA DEPOK,893547677000
02,02 60 ,JAWA BARAT,KOTA TASIKMALAYA,645294082000
02,02 61 ,JAWA BARAT,KOTA CIMAHI,1206307779000
02,02 62 ,JAWA BARAT,KOTA BANJAR,683344688000
03,03 00 ,JAWA TENGAH,JAWA TENGAH,39663815151000
03,03 01 ,JAWA TENGAH,KAB. SEMARANG,305265954000
03,03 02 ,JAWA TENGAH,KAB. KENDAL,314505153000
03,03 03 ,JAWA TENGAH,KAB. DEMAK,439093401000
03,03 04 ,JAWA TENGAH,KAB. GROBOGAN,569072220000
03,03 05 ,JAWA TENGAH,KAB. PEKALONGAN,314036360000
03,03 06 ,JAWA TENGAH,KAB. BATANG,327243819000
03,03 07 ,JAWA TENGAH,KAB. TEGAL,367701275000
03,03 08 ,JAWA TENGAH,KAB. BREBES,414799064000
03,03 09 ,JAWA TENGAH,KAB. PATI,561138708000
03,03 10 ,JAWA TENGAH,KAB. KUDUS,456933616000
03,03 11 ,JAWA TENGAH,KAB. PEMALANG,371919816000
03,03 12 ,JAWA TENGAH,KAB. JEPARA,405651725000
03,03 13 ,JAWA TENGAH,KAB. REMBANG,266244821000
03,03 14 ,JAWA TENGAH,KAB. BLORA,590460531000
03,03 15 ,JAWA TENGAH,KAB. BANYUMAS,2035882123000
03,03 16 ,JAWA TENGAH,KAB. CILACAP,885956225000
03,03 17 ,JAWA TENGAH,KAB. PURBALINGGA,402789192000
03,03 18 ,JAWA TENGAH,KAB. BANJARNEGARA,352128017000
03,03 19 ,JAWA TENGAH,KAB. MAGELANG,495501843000
03,03 20 ,JAWA TENGAH,KAB. TEMANGGUNG,346715103000
03,03 21 ,JAWA TENGAH,KAB. WONOSOBO,387936827000
03,03 22 ,JAWA TENGAH,KAB. PURWOREJO,312900125000
03,03 23 ,JAWA TENGAH,KAB. KEBUMEN,434005910000
03,03 24 ,JAWA TENGAH,KAB. KLATEN,874167732000
03,03 25 ,JAWA TENGAH,KAB. BOYOLALI,465449964000
03,03 26 ,JAWA TENGAH,KAB. SRAGEN,411880159000
03,03 27 ,JAWA TENGAH,KAB. SUKOHARJO,1523134650000
03,03 28 ,JAWA TENGAH,KAB. KARANGANYAR,838839129000
03,03 29 ,JAWA TENGAH,KAB. WONOGIRI,343269218000
03,03 51 ,JAWA TENGAH,KOTA SEMARANG,18166860155000
03,03 52 ,JAWA TENGAH,KOTA SALATIGA,560283602000
03,03 53 ,JAWA TENGAH,KOTA PEKALONGAN,368439226000
03,03 54 ,JAWA TENGAH,KOTA TEGAL,638234827000
03,03 55 ,JAWA TENGAH,KOTA MAGELANG,1230656155000
03,03 56 ,JAWA TENGAH,KOTA SURAKARTA,2884718506000
04,04 00 ,DI YOGYAKARTA,DI YOGYAKARTA,12354403690000
04,04 01 ,DI YOGYAKARTA,KAB. BANTUL,782545313000
04,04 02 ,DI YOGYAKARTA,KAB. SLEMAN,3365507410000
04,04 03 ,DI YOGYAKARTA,KAB. GUNUNGKIDUL,389665640000
04,04 04 ,DI YOGYAKARTA,KAB. KULONPROGO,395554265000
04,04 51 ,DI YOGYAKARTA,KOTA YOGYAKARTA,7421131062000
05,05 00 ,JAWA TIMUR,JAWA TIMUR,45217577671000
05,05 01 ,JAWA TIMUR,KAB. GRESIK,454468978000
05,05 02 ,JAWA TIMUR,KAB. MOJOKERTO,422753890000
05,05 03 ,JAWA TIMUR,KAB. SIDOARJO,3639894458000
05,05 04 ,JAWA TIMUR,KAB. JOMBANG,603161936000
05,05 05 ,JAWA TIMUR,KAB. SAMPANG,310432391000
05,05 06 ,JAWA TIMUR,KAB. PAMEKASAN,592036693000
05,05 07 ,JAWA TIMUR,KAB. SUMENEP,519284169000
05,05 08 ,JAWA TIMUR,KAB. BANGKALAN,628558737000
05,05 09 ,JAWA TIMUR,KAB. BONDOWOSO,344149612000
05,05 10 ,JAWA TIMUR,KAB. SITUBONDO,372049352000
05,05 11 ,JAWA TIMUR,KAB. BANYUWANGI,837121919000
05,05 12 ,JAWA TIMUR,KAB. JEMBER,2321275645000
05,05 13 ,JAWA TIMUR,KAB. MALANG,1177309980000
05,05 14 ,JAWA TIMUR,KAB. PASURUAN,561979466000
05,05 15 ,JAWA TIMUR,KAB. PROBOLINGGO,327588889000
05,05 16 ,JAWA TIMUR,KAB. LUMAJANG,341601352000
05,05 17 ,JAWA TIMUR,KAB. KEDIRI,490398310000
05,05 18 ,JAWA TIMUR,KAB. TULUNGAGUNG,770930600000
05,05 19 ,JAWA TIMUR,KAB. NGANJUK,487886588000
05,05 20 ,JAWA TIMUR,KAB. TRENGGALEK,304943969000
05,05 21 ,JAWA TIMUR,KAB. BLITAR,382165866000
05,05 22 ,JAWA TIMUR,KAB. MADIUN,411187320000
05,05 23 ,JAWA TIMUR,KAB. NGAWI,396560759000
05,05 24 ,JAWA TIMUR,KAB. MAGETAN,354382656000
05,05 25 ,JAWA TIMUR,KAB. PONOROGO,535647795000
05,05 26 ,JAWA TIMUR,KAB. PACITAN,245840078000
05,05 27 ,JAWA TIMUR,KAB. BOJONEGORO,483984490000
05,05 28 ,JAWA TIMUR,KAB. TUBAN,420214087000
05,05 29 ,JAWA TIMUR,KAB. LAMONGAN,446062556000
05,05 51 ,JAWA TIMUR,KOTA SURABAYA,17501286653000
05,05 52 ,JAWA TIMUR,KOTA MOJOKERTO,626312171000
05,05 53 ,JAWA TIMUR,KOTA MALANG,4217769538000
05,05 54 ,JAWA TIMUR,KOTA PASURUAN,232073484000
05,05 55 ,JAWA TIMUR,KOTA PROBOLINGGO,175360613000
05,05 56 ,JAWA TIMUR,KOTA BLITAR,230187238000
05,05 57 ,JAWA TIMUR,KOTA KEDIRI,800274088000
05,05 58 ,JAWA TIMUR,KOTA MADIUN,1373499785000
05,05 59 ,JAWA TIMUR,KOTA BATU,876941560000
06,06 00 ,ACEH,ACEH,16000815877000
06,06 01 ,ACEH,KAB. ACEH BESAR,790470507000
06,06 02 ,ACEH,KAB. P I D I E,455290795000
06,06 03 ,ACEH,KAB. ACEH UTARA,692174431000
06,06 04 ,ACEH,KAB. ACEH TIMUR,345556090000
06,06 05 ,ACEH,KAB. ACEH SELATAN,260053890000
06,06 06 ,ACEH,KAB. ACEH BARAT,300746751000
06,06 07 ,ACEH,KAB. ACEH TENGAH,441131617000
06,06 08 ,ACEH,KAB. ACEH TENGGARA,241930162000
06,06 09 ,ACEH,KAB. SIMEULEU,145098728000
06,06 10 ,ACEH,KAB. ACEH SINGKIL,124453626000
06,06 11 ,ACEH,KAB. BIREUN,433811317000
06,06 12 ,ACEH,KAB. ACEH BARAT DAYA,169291551000
06,06 13 ,ACEH,KAB. ACEH GAYO LUES,113111615000
06,06 14 ,ACEH,KAB. ACEH JAYA,132605811000
06,06 15 ,ACEH,KAB. NAGAN RAYA,163156324000
06,06 16 ,ACEH,KAB. ACEH TAMIANG,213497993000
06,06 17 ,ACEH,KAB. BENER MERIAH,166922686000
06,06 18 ,ACEH,KAB. PIDIE JAYA,211112868000
06,06 51 ,ACEH,KOTA BANDA ACEH,7659642185000
06,06 52 ,ACEH,KOTA SABANG,287647970000
06,06 53 ,ACEH,KOTA LANGSA,480652908000
06,06 54 ,ACEH,KOTA LHOKSEUMAWE,1467773607000
06,06 55 ,ACEH,KOTA  MEULABOH,607157393000
06,06 56 ,ACEH,KOTA SUMBULUSSALAM,97525052000
07,07 00 ,SUMATERA UTARA,SUMATERA UTARA,20510426452000
07,07 01 ,SUMATERA UTARA,KAB. DELISERDANG,776853777000
07,07 02 ,SUMATERA UTARA,KAB. KARO,208343801000
07,07 03 ,SUMATERA UTARA,KAB. LANGKAT,424078261000
07,07 04 ,SUMATERA UTARA,KAB. TAPANULI TENGAH,217664343000
07,07 05 ,SUMATERA UTARA,KAB. SIMALUNGUN,308686656000
07,07 06 ,SUMATERA UTARA,KAB. LABUHANBATU,303076468000
07,07 07 ,SUMATERA UTARA,KAB. D A I R I,157281675000
07,07 08 ,SUMATERA UTARA,KAB. TAPANULI UTARA,270022407000
07,07 09 ,SUMATERA UTARA,KAB. TAPANULI SELATAN,227416790000
07,07 10 ,SUMATERA UTARA,KAB. ASAHAN,311374735000
07,07 11 ,SUMATERA UTARA,KAB. N  I  A  S,290582448000
07,07 12 ,SUMATERA UTARA,KAB. SAMOSIR,95943287000
07,07 13 ,SUMATERA UTARA,KAB. MANDAILING NATAL,371954844000
07,07 14 ,SUMATERA UTARA,KAB. NIAS SELATAN,137806864000
07,07 15 ,SUMATERA UTARA,KAB. PAKPAK BARAT,64779275000
07,07 16 ,SUMATERA UTARA,KAB. HUMBANG HASUNDUTAN,130310303000
07,07 17 ,SUMATERA UTARA,KAB. TOBA SAMOSIR,201711674000
07,07 20 ,SUMATERA UTARA,KAB. SERDANG BEDAGAI,225557020000
07,07 21 ,SUMATERA UTARA,KAB. BATUBARA,152842600000
07,07 22 ,SUMATERA UTARA,KAB. PADANG LAWAS,184202081000
07,07 23 ,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,119861039000
07,07 24 ,SUMATERA UTARA,KAB. LABUHAN BATU SELATAN,116790041000
07,07 25 ,SUMATERA UTARA,KAB. LABUHAN BATU UTARA,91926610000
07,07 26 ,SUMATERA UTARA,KAB. NIAS UTARA,47026569000
07,07 27 ,SUMATERA UTARA,KAB. NIAS BARAT,52340386000
07,07 51 ,SUMATERA UTARA,KOTA MEDAN,12706697831000
07,07 52 ,SUMATERA UTARA,KOTA TEBINGTINGGI,435779505000
07,07 53 ,SUMATERA UTARA,KOTA B I N J A I,275753659000
07,07 54 ,SUMATERA UTARA,KOTA PEMATANGSIANTAR,385405434000
07,07 55 ,SUMATERA UTARA,KOTA TANJUNGBALAI,206147069000
