Provinsi,Jumlah Sekolah SMK,Jumlah Kuota Murid SMK,Jumlah Murid SMK
Aceh,222,54100,53470
Sumatera Utara,959,304565,177876
Sumatera Barat,212,88282,67370
Riau,306,105325,59716
Jambi,181,49229,45514
Sumatera Selatan,314,125925,101732
Bengkulu,103,28542,7724
Lampung,497,150736,143714
Kepulauan Bangka Belitung,59,24636,21721
Kepulauan Riau,104,37984,12740
DKI Jakarta,561,196648,137866
Jawa Barat,2913,1068475,977772
Jawa Tengah,1541,804419,619681
DI Yogyakarta,206,88842,73183
Jawa Timur,2147,774568,320152
Banten,724,251415,215680
Bali,170,89129,87881
Nusa Tenggara Barat,329,77712,64555
Nusa Tenggara Timur,343,103874,100477
Kalimantan Barat,233,75741,57550
Kalimantan Tengah,139,33166,26327
Kalimantan Selatan,128,55438,53538
Kalimantan Timur,217,83110,66615
Kalimantan Utara,34,10457,6571
Sulawesi Utara,192,45766,44678
Sulawesi Tengah,182,41943,10840
Sulawesi Selatan,406,120300,112581
Sulawesi Tenggara,168,34736,24659
Gorontalo,59,16807,9666
Sulawesi Barat,130,25073,5780
Maluku,120,21812,9889
Maluku Utara,150,19151,16820
Papua Barat,21,6736,5934
Papua Barat Daya,38,8985,7982
Papua,49,13363,9559
Papua Selatan,25,7007,4326
Papua Tengah,51,11181,7269
Papua Pegunungan,19,4425,4155
